index,County,(To sort by county and year),(To sort by year and county),Year,State and County FIPS Code,Alzheimer's Disease/Dementia Prevalence (%),Arthritis Prevalence (%),Asthma Prevalence (%),Atrial Fibrillation Prevalence (%),Autism Spectrum Disorders Prevalence (%),COPD Prevalence (%),Cancer Prevalence (%),Chronic Kidney Disease Prevalence (%),Depression  Prevalence (%),Diabetes Prevalence (%),HIV/AIDS Prevalence (%),Heart Failure Prevalence (%),Hepatitis (Chronic Viral B & C) Prevalence (%),Hyperlipidemia Prevalence (%),Hypertension Prevalence (%),Ischemic Heart Disease Prevalence (%),Osteoporosis Prevalence (%),Schizophrenia/Other Psychotic Disorders Prevalence (%),Stroke Prevalence (%)
98,KITSAP,530352009.0,200953035,2009,53035,8.9,20.5,4.1,8.4,0.1,7.9,6.8,12.2,12.4,21.5,0.2,14.6,0.6,36.9,46.1,19.1,4.7,2.6,2.9
99,KITTITAS,530372009.0,200953037,2009,53037,7.4,23.8,3.2,8.0,,6.9,7.6,7.7,8.9,19.4,,10.6,0.6,35.2,41.2,20.3,3.9,1.8,2.2
100,KLICKITAT,530392009.0,200953039,2009,53039,7.3,15.6,2.3,7.2,,7.8,7.2,7.2,9.5,21.4,,13.2,0.3,30.8,35.6,18.0,3.3,1.8,3.0
101,LEWIS,530412009.0,200953041,2009,53041,8.4,20.7,2.9,8.3,,9.3,6.6,10.3,12.5,22.3,0.1,14.6,0.8,34.1,42.0,22.6,5.6,2.0,3.5
102,LINCOLN,530432009.0,200953043,2009,53043,9.5,26.7,3.9,9.0,0.0,10.3,7.6,10.9,11.1,24.5,0.0,12.2,,37.5,44.9,23.9,6.8,2.4,3.8
103,MASON,530452009.0,200953045,2009,53045,7.1,21.1,3.3,8.3,,8.6,7.4,9.0,10.9,20.4,0.1,12.9,0.8,32.4,41.6,21.7,3.7,1.6,2.6
104,OKANOGAN,530472009.0,200953047,2009,53047,7.8,19.1,3.0,6.9,,8.8,6.2,10.9,12.4,21.7,0.2,11.8,0.5,33.5,38.3,20.6,3.2,2.0,2.7
105,PACIFIC,530492009.0,200953049,2009,53049,7.6,23.0,3.5,8.6,,11.8,7.6,9.7,11.0,25.3,,15.4,0.8,39.2,52.2,24.8,4.4,1.6,3.3
106,PEND OREILLE,530512009.0,200953051,2009,53051,6.0,20.4,2.7,5.6,0.0,8.8,5.8,9.1,8.8,21.7,,11.4,0.8,29.9,34.9,21.9,4.6,1.7,2.1
107,PIERCE,530532009.0,200953053,2009,53053,8.8,22.0,4.0,7.2,0.1,9.8,6.6,12.7,12.8,22.7,0.2,14.7,1.0,35.6,46.6,20.2,5.9,3.4,3.3
108,SAN JUAN,530552009.0,200953055,2009,53055,7.5,18.3,2.6,9.2,0.0,3.6,8.1,6.9,10.8,12.3,,8.7,0.5,30.0,37.3,17.0,2.7,1.1,2.2
109,SKAGIT,530572009.0,200953057,2009,53057,8.6,20.1,3.2,9.2,0.1,7.5,7.6,9.5,13.5,20.4,0.1,11.5,0.6,33.8,45.6,20.1,4.3,2.5,2.8
110,SKAMANIA,530592009.0,200953059,2009,53059,6.2,14.3,3.2,7.5,,7.0,5.5,9.2,10.1,20.3,,12.0,,24.9,39.4,15.2,2.0,1.6,1.6
111,SNOHOMISH,530612009.0,200953061,2009,53061,8.8,19.8,3.3,7.4,0.1,7.5,6.9,13.5,13.2,22.3,0.3,11.8,0.9,31.0,41.4,20.3,4.3,3.3,3.3
112,SPOKANE,530632009.0,200953063,2009,53063,10.1,23.3,3.7,7.7,0.1,9.9,7.0,12.4,12.9,21.3,0.2,12.3,0.7,36.4,44.6,21.0,6.6,3.7,3.5
113,STEVENS,530652009.0,200953065,2009,53065,6.8,22.8,3.6,7.2,0.0,11.2,6.8,9.1,8.5,20.7,,12.3,0.7,26.9,34.9,22.4,4.8,2.1,2.8
114,THURSTON,530672009.0,200953067,2009,53067,8.7,20.8,3.9,6.7,0.1,8.0,6.7,10.6,12.7,20.1,0.2,13.2,0.8,31.0,39.8,20.2,5.0,3.1,2.8
115,WAHKIAKUM,530692009.0,200953069,2009,53069,6.7,22.0,5.0,9.5,0.0,8.9,6.9,12.0,9.7,22.7,,14.1,,31.0,44.5,23.7,3.5,2.5,3.1
116,WALLA WALLA,530712009.0,200953071,2009,53071,11.6,23.2,4.9,9.2,,9.0,9.1,9.7,12.5,22.6,,14.7,0.4,35.6,44.9,22.8,6.4,2.8,3.2
117,WHATCOM,530732009.0,200953073,2009,53073,9.3,18.5,4.1,9.5,0.1,7.6,7.3,11.3,13.7,20.4,0.2,12.5,1.5,36.0,45.8,23.1,5.2,3.4,2.8
118,WHITMAN,530752009.0,200953075,2009,53075,10.3,32.7,6.7,8.0,,10.6,7.9,13.0,10.3,23.2,,16.7,0.4,32.6,47.3,25.6,6.2,3.3,3.6
119,YAKIMA,530772009.0,200953077,2009,53077,8.9,23.5,3.6,7.2,0.0,9.1,7.3,11.4,12.8,27.0,0.1,14.2,0.7,37.6,45.5,24.0,4.8,2.8,3.3
120,STATE TOTAL,0.201,2010,2010,.,9.1,22.0,3.8,7.7,0.1,8.4,6.9,12.6,13.2,22.1,0.3,12.5,0.8,34.8,44.3,20.6,5.0,3.1,3.1
121,ADAMS,530012010.0,201053001,2010,53001,9.4,24.8,3.3,7.4,0.0,7.7,6.6,14.0,11.2,27.8,0.0,13.9,,41.0,51.2,27.6,4.2,1.6,2.7
